Company_A_ID,Company_A_Name,Company_B_ID,Company_B_Name,Similarity_Score
186,Dupont Café (parent),136916,Dupont Café,0.7924765726639413
196,Heiko Bordeaux,187667,Bordeaux,0.664263516361789
259,Tempête sous un crâne,144638,Tempète sous un crâne,1.0000000000000002
292,LA PIZZA DU DIMANCHE SOIR,58647,Pizza Pilgrims Ltd,0.34453028330246815
371,Planet Sushi Pyrénées,79352,PLANET SUSHI,0.7183368296427305
376,Mum Dim Sum (Parent),168834,MUM DIM SUM,0.8534345694790773
420,LA CHOPE DAGUERRE,420,LA CHOPE DAGUERRE,1.0
497,Planet Sushi Versailles,79352,PLANET SUSHI,0.714867436922031
524,PAPA RAFFAELE,122092,Papa Raffaelle - Bar,0.8450458532105871
632,TOT OU TARD,632,TOT OU TARD,1.0
684,LES ATELIERS,169282,Ensci Les Ateliers,0.7552851718974631
714,L'Ekinoxe,121772,L'Ekinoxe Café,0.8507020514067493
721,FRIIDAY,150909,Friiday,1.0
743,Guama Café,116140,Guama,0.7781600395894005
784,Le patacrepe Nîmes,125081,Patacrepe,0.7409092934315407
820,Nest Paris,178742,Paris,0.5630904249840957
839,Bercy Café,123882,Bercy café,0.9999999999999999
871,SUSHI JULIETTE,124451,Sushi Juliette,1.0000000000000002
902,La Dolce VIta,119310,LA dolce Vita,0.9999999999999998
927,Stevenot Cadet,126353,Stevenot,0.7278556336888897
939,La pierrade,148717,La pierrade,0.9999999999999998
993,Planet Sushi Levallois,79352,PLANET SUSHI,0.7064458482461822
1093,AU 35,152116,Au 35,1.0
1143,Yogurt Factory La Défense,167544,YOGURT FACTORY,0.7697567230894728
1183,LES POLISSONS,117875,LES POLISSONS,1.0
1203,DEL ARTE  ALENÇON,146928,Del Arte,0.6630645359158088
1260,BOAZ CONCEPT,163935,BOAZ CONCEPT,1.0000000000000002
1502,Le Progrès,121748,Le progrès,0.9999999999999999
1508,RICE TROTTERS Colisée,163663,RICE TROTTERS,0.7913830124820854
1520,Bagelstein Pyramides,1520,Bagelstein Pyramides,0.9999999999999998
1533,Biltoki,166254,BILTOKI,1.0000000000000002
1567,ZOE BOUILLON,125993,Zoe bouillon,0.9999999999999998
1572,Planet Sushi Monge,79352,PLANET SUSHI,0.7897170670554128
1619,CUCUZZA,139278,Cucuzza,1.0000000000000002
1675,Relais christine,170807,Relais Christine,0.9999999999999996
1695,Gallika Cadet,139437,Galliká Godot,0.4500581090138647
1757,DEL ARTE PARLY 2,146928,Del Arte,0.596228539700764
1762,Les Amis de Messina (PARENT),1762,Les Amis de Messina (PARENT),0.9999999999999999
1823,SUSHI SHOP Charles de Gaulle,105341,SUSHI SHOP,0.5842394307517121
1830,O Charolais,1830,O Charolais,1.0
1860,Planet Sushi Doumer,1860,Planet Sushi Doumer,0.9999999999999999
1985,Bistrot Colette,116984,Bistrot Colette,0.9999999999999999
2068,BISTROT M,113899,Le Bistrot M,0.8576738647259781
2127,VINS DES PYRENEES,137065,Vins des Pyrennées,0.8359131724661039
2137,TRUST,132057,The Trust,0.7239682555182352
2148,Sept cinq,160407,SEPT CINQ,0.9999999999999998
2327,Noura Opéra,140976,Noura,0.5782192413545786
2373,Baprod Massieux,361343,Mapr,0.26563322152729274
2460,THE BOOTLAGERS,136727,The Blootlagers,0.7648044611879858
2514,ICE TO ICE (ARTISAN DU BURGER),108941,l'artisan du burger,0.7336874392397101
2613,La Boutarde,131476,La Boutarde,1.0000000000000002
2840,Au bout du bar,137753,Au Bout du Bar,0.9999999999999998
2984,Marlette BHV,171489,Marlette,0.7168471845435589
3019,Planet Sushi Pereire,79352,PLANET SUSHI,0.7210149946094814
3129,Sogepar,284467,Sogepar,1.0000000000000002
3474,Timhotel Groupe,167462,Timhotel,0.8029365860918182
3481,Francis la butte,137038,Francis labutte,1.0
3487,PARIS ROME,111611,Paris Rome,1.0
3488,SAS LE PERY,134188,Le Pery,0.7441847115059356
3497,Boulangerie Feuillette,158695,FEUILLETTE,0.6886509121515839
3516,DEL ARTE MONT-DEL-MARSAN SAINT-PIERRE-DU-MONT,165602,Saint-Pierre-du-Mont,0.7095610809958688
