Company_A_ID,Company_A_Name,Company_B_ID,Company_B_Name,Similarity_Score
259,Tempête sous un crâne,144638,Tempète sous un crâne,0.9304597083279842
420,LA CHOPE DAGUERRE,420,LA CHOPE DAGUERRE,0.9999999999999999
632,TOT OU TARD,632,TOT OU TARD,1.0000000000000002
839,Bercy Café,123882,Bercy café,0.8910282779740812
871,SUSHI JULIETTE,124451,Sushi Juliette,0.9110578489112248
902,La Dolce VIta,119310,LA dolce Vita,0.9909647924865168
939,La pierrade,148717,La pierrade,0.8667143708196858
1093,AU 35,152116,Au 35,0.8463267211745203
1260,BOAZ CONCEPT,163935,BOAZ CONCEPT,0.9154074320473482
1520,Bagelstein Pyramides,1520,Bagelstein Pyramides,1.0000000000000002
1567,ZOE BOUILLON,125993,Zoe bouillon,0.8943356304959835
1619,CUCUZZA,139278,Cucuzza,0.9098888166740262
1675,Relais christine,170807,Relais Christine,0.8854444575557789
1762,Les Amis de Messina (PARENT),1762,Les Amis de Messina (PARENT),1.0000000000000002
1830,O Charolais,1830,O Charolais,1.0
1860,Planet Sushi Doumer,1860,Planet Sushi Doumer,1.0000000000000002
1985,Bistrot Colette,116984,Bistrot Colette,0.9178967763656248
2148,Sept cinq,160407,SEPT CINQ,0.8348010719765026
2613,La Boutarde,131476,La Boutarde,0.983884444178568
2840,Au bout du bar,137753,Au Bout du Bar,0.9195326593353235
3129,Sogepar,284467,Sogepar,0.9999999999999998
3481,Francis la butte,137038,Francis labutte,0.8393438678811899
3488,SAS LE PERY,134188,Le Pery,0.8726286799612509
3535,LES PETITES ASSIETTES,125480,Les Petites Assiettes,0.9126495007928613
3764,L'assiette aux fromages,118498,L'assiette aux fromages,0.9285517357149661
3896,IL GIGOLO,123864,Il gigolo,0.8792746358729275
4649,Veng Hour,169020,VENG HOUR,0.8857447546530074
4744,Double Dragon,119497,Double dragon,0.8637382769854902
4940,L'Apollo,142733,L apollo,0.8434741374282585
5508,SAS Villert - MOUSSE TOUCH,123904,SAS VILLERT LA MOUSSE TOUCH,0.8197506255322483
5793,LE FER A CHEVAL,148398,LE FER A CHEVAL,0.9871688606951858
5861,LA PLAGE,113335,La plage,0.8405602507034869
6076,Hamler's burgery,155044,Hamler's burgery,0.878141477028524
6446,La Ferme De Charles,132714,La Ferme de Charles,0.9677809430770025
7026,FLAMS SIEGE,7026,FLAMS SIEGE,0.9999999999999998
7072,BISTROT DES CAMPAGNES,144447,Le bistrot des campagnes,0.8209219800613953
7306,Gosselin,143686,Gosselin,0.8720462563264276
7324,Bagelstein Poitiers,7324,Bagelstein Poitiers,1.0000000000000002
7327,L'estrapade,115868,L'estrapade,0.8000013963818029
7768,LES PERES POPULAIRES,128536,les pères populaires,0.8371430571520869
7812,COLCHIDE,116201,Le Colchide,0.8262835005078025
8211,Bureau Vallée,284931,Bureau Vallée ES,0.8292137839707627
8628,Air Liquide / AL IT,8628,Air Liquide / AL IT,1.0000000000000002
8640,AROLLA,73330,AROLLA,0.9999999999999999
8643,Le Phare,8643,Le Phare,0.9999999999999998
8647,Arcad Software,8647,Arcad Software,0.9999999999999998
8652,Mint Conseil,8652,Mint Conseil,0.9999999999999999
8664,Ubeeqo,160572,Ubeeqo,0.9999999999999997
8689,UpSlide,76986,UpSlide,1.0000000000000002
8694,Digital No Limit,8694,Digital No Limit,1.0
8698,SMARTHYS,8698,SMARTHYS,0.9999999999999996
