Company ID,Company Name,Phone Number,Postal Code,Country
186,Dupont Café (parent),,75015.0,France
196,Heiko Bordeaux,,33000.0,France
259,Tempête sous un crâne,33 1 47 55 07 20,75015.0,France
292,LA PIZZA DU DIMANCHE SOIR,01 85 47 11 12,78670.0,France
371,Planet Sushi Pyrénées,01 43 15 17 17,75020.0,France
376,Mum Dim Sum (Parent),33142364304,75001.0,France
420,LA CHOPE DAGUERRE,01 43 22 76 59,75014.0,France
497,Planet Sushi Versailles,01 39 49 00 00,78000.0,France
524,PAPA RAFFAELE,,59800.0,France
632,TOT OU TARD,,34000.0,France
684,LES ATELIERS,01 43 43 17 48,75012.0,France
714,L'Ekinoxe,,75011.0,France
721,FRIIDAY,,92160.0,France
743,Guama Café,,59800.0,France
784,Le patacrepe Nîmes,04 66 64 67 70,30900.0,France
820,Nest Paris,01 40 20 45 20,75001.0,France
839,Bercy Café,01 43 43 44 29,75012.0,France
871,SUSHI JULIETTE,01 45 38 96 84,75014.0,France
902,La Dolce VIta,03 22 92 24 23,80000.0,France
927,Stevenot Cadet,33171763171,75009.0,France
939,La pierrade,01 42 55 30 65,75018.0,France
993,Planet Sushi Levallois,01 47 59 09 09,92300.0,France
1093,AU 35,01 42 60 23 24,75006.0,France
1143,Yogurt Factory La Défense,,92092.0,France
1183,LES POLISSONS,01 42 54 90 15,75020.0,
1203,DEL ARTE  ALENÇON,02 33 80 16 71,61000.0,
1260,BOAZ CONCEPT,,59780.0,
1502,Le Progrès,01 42 72 01 44,75003.0,
1508,RICE TROTTERS Colisée,01 53 75 11 95,75008.0,France
1520,Bagelstein Pyramides,01 42 61 06 32,75001.0,
1533,Biltoki,,40230.0,France
1567,ZOE BOUILLON,01 42 02 02 83,75019.0,France
1572,Planet Sushi Monge,01 44 08 75 00,75005.0,
1619,CUCUZZA,01 42 28 71 75,75017.0,France
1675,Relais christine,,75006.0,France
1695,Gallika Cadet,33953888375,75009.0,France
1757,DEL ARTE PARLY 2,01 39 23 81 90,78150.0,France
1762,Les Amis de Messina (PARENT),01 42 61 13 73,75002.0,
1823,SUSHI SHOP Charles de Gaulle,01 41 79 31 19,94130.0,
1830,O Charolais,01 34 64 02 17,95310.0,France
1860,Planet Sushi Doumer,01 40 72 15 15,75016.0,France
1985,Bistrot Colette,,38300.0,
2068,BISTROT M,0142383886,75019.0,France
2127,VINS DES PYRENEES,,75004.0,
2137,TRUST,,94000.0,
2148,Sept cinq,,75001.0,
2327,Noura Opéra,09 72 33 41 34,75008.0,France
2373,Baprod Massieux,,1600.0,France
2460,THE BOOTLAGERS,01 44 23 79 75,75013.0,France
2514,ICE TO ICE (ARTISAN DU BURGER),01 42 36 19 13,75001.0,
